,Total Confirmed,Total Deaths,Total Recovered,Total Recovered_Est,Total Active_Est,Total Active,Daily New Confirmed,Daily New Deaths,Daily New Recovered,Daily New Recovered_Est,Daily New Active_Est,Daily New Active,Total Mortality_Rate,Total Recovery_Rate,Total Activity_Rate,Change in Mortality_Rate,Change in Recovery_Rate,Change in Activity_Rate
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,1,0,0,0,1,1,1,0,0,0,1,1,0.0,0.0,100.0,0.0,0.0,100.0
2020-03-05,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-03-06,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-03-07,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-03-08,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-03-09,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-03-10,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-03-11,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-03-12,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-03-13,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-03-14,4,0,0,0,4,4,3,0,0,0,3,3,0.0,0.0,100.0,0.0,0.0,0.0
2020-03-15,4,0,0,0,4,4,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-03-16,4,0,0,0,4,4,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-03-17,7,0,0,0,7,7,3,0,0,0,3,3,0.0,0.0,100.0,0.0,0.0,0.0
2020-03-18,28,0,0,0,28,28,21,0,0,0,21,21,0.0,0.0,100.0,0.0,0.0,0.0
2020-03-19,28,0,0,0,28,28,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-03-20,28,0,0,0,28,28,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-03-21,37,0,0,0,37,37,9,0,0,0,9,9,0.0,0.0,100.0,0.0,0.0,0.0
