,Total Confirmed,Total Deaths,Total Recovered,Total Active,Change in Confirmed,Change in Deaths,Change in Recovered,Change in Active,Total Mortality_Rate,Total Recovery_Rate,Total Activity_Rate,Change in Mortality_Rate,Change in Recovery_Rate,Change in Activity_Rate
2020-01-22,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,1,0,0,1,1,0,0,1,0.0,0.0,100.0,0.0,0.0,100.0
2020-02-02,1,0,0,1,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-03,1,0,0,1,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-04,1,0,0,1,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-05,1,0,0,1,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-06,1,0,0,1,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-07,1,0,0,1,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-08,1,0,0,1,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-09,2,0,0,2,1,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-10,2,0,0,2,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-11,2,0,0,2,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-12,2,0,0,2,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-13,2,0,0,2,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-14,2,0,0,2,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-15,2,0,2,0,0,0,2,-2,0.0,100.0,0.0,0.0,100.0,-100.0
2020-02-16,2,0,2,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-17,2,0,2,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-18,2,0,2,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-19,2,0,2,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-20,2,0,2,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-21,2,0,2,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-22,2,0,2,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-23,2,0,2,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
